Type,Name,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,
LT,Yasir Durant,23,KC,2,500000,77,79,62,64,35,36,84,87,84,87,67,49,40,35,,,,,,,,,,
LG,Darryl Williams,23,FA,0,0,86,89,41,44,36,39,54,58,90,96,96,53,42,36,,,,,,,,,,
LG,John Molchon,22,FA,0,0,84,87,50,52,51,53,51,53,80,82,55,62,55,51,,,,,,,,,,
LG,Cordel Iwuagwu,24,HOU,3,500000,82,83,62,63,38,38,59,60,78,79,65,53,43,38,,,,,,,,,,
RT,Calvin Throckmorton,23,NO,2,500000,77,80,73,76,52,56,73,78,87,93,75,53,52,52,,,,,,,,,,
LT,J'Marcus Webb,32,FA,0,0,69,69,61,61,51,51,48,48,60,60,75,54,52,51,,,,,,,,,,
RT,Chris Clark,35,FA,0,0,73,73,54,54,59,59,47,47,60,60,69,58,59,59,,,,,,,,,,
RG,Ted Larsen,33,FA,0,0,61,61,65,65,49,49,43,43,64,64,84,50,49,49,,,,,,,,,,
LT,Donald Penn,37,FA,0,0,84,84,55,55,69,69,54,54,76,76,75,69,69,69,,,,,,,,,,
LT,Ben Ijalana,31,FA,0,0,71,72,62,63,48,49,46,47,69,70,71,54,50,48,,,,,,,,,,
LT,John Jerry,34,FA,0,0,77,77,53,53,43,43,48,48,64,64,59,54,47,43,,,,,,,,,,
C,Daniel Kilgore,33,FA,0,0,78,78,61,61,65,65,51,51,69,69,75,64,65,65,,,,,,,,,,
RG,Mike Person,32,FA,0,0,63,63,67,67,67,67,55,55,77,77,80,61,65,67,,,,,,,,,,
LT,Jason Peters,38,FA,0,0,90,90,62,62,73,73,75,75,85,85,73,78,75,73,,,,,,,,,,
RT,Demar Dotson,35,FA,0,0,73,73,58,58,78,78,61,61,74,74,69,68,75,78,,,,,,,,,,
C,Zak DeOssie,36,FA,0,0,51,51,81,81,59,59,41,41,53,53,78,49,56,59,,,,,,,,,,
LT,Marshall Newhouse,32,FA,0,0,71,71,67,67,55,55,48,48,65,65,82,57,56,55,,,,,,,,,,
C,Ryan Kalil,35,FA,0,0,75,75,65,65,73,73,48,48,74,74,77,66,71,73,,,,,,,,,,
RT,Jared Veldheer,33,FA,0,0,90,90,67,67,73,73,54,54,69,69,82,72,73,73,,,,,,,,,,
RG,Earl Watford,30,FA,0,0,71,71,60,60,59,59,46,46,64,64,90,59,59,59,,,,,,,,,,
C,A.Q. Shipley,34,FA,0,0,75,75,66,66,61,61,48,48,64,64,75,61,61,61,,,,,,,,,,
RT,Jordan Mills,30,FA,0,0,69,69,59,59,57,57,51,51,63,63,86,57,57,57,,,,,,,,,,
LG,Cordy Glenn,31,FA,0,0,84,84,58,58,65,65,54,54,69,69,78,67,66,65,,,,,,,,,,
RT,Mike Adams,30,FA,0,0,71,72,69,70,51,52,51,52,75,77,67,56,53,51,,,,,,,,,,
C,Tony Bergstrom,34,FA,0,0,67,67,66,66,51,51,46,46,68,68,80,54,52,51,,,,,,,,,,
LT,Kelvin Beachum,31,FA,0,0,69,69,60,60,75,75,52,52,72,72,90,64,71,75,,,,,,,,,,
RG,Ronald Leary,31,FA,0,0,75,75,55,55,80,80,59,59,85,85,73,73,78,80,,,,,,,,,,
LT,LaAdrian Waddle,29,FA,0,0,75,77,56,57,54,55,46,47,66,67,77,58,55,54,,,,,,,,,,
RG,Josh Kline,31,FA,0,0,67,67,65,65,55,55,55,55,66,66,80,58,56,55,,,,,,,,,,
RG,Patrick Omameh,31,FA,0,0,65,65,62,62,55,55,46,46,64,64,84,54,55,55,,,,,,,,,,
LG,Brandon Thomas,29,FA,0,0,84,86,55,56,37,38,43,44,68,69,54,55,43,37,,,,,,,,,,
C,Justin Britt,29,FA,0,0,75,78,65,68,71,74,57,59,73,76,69,67,70,71,,,,,,,,,,
C,Jon Halapio,29,FA,0,0,71,72,52,53,63,64,51,52,69,70,55,61,62,63,,,,,,,,,,
RG,Michael Schofield,30,FA,0,0,71,72,63,64,53,54,52,53,73,74,88,57,54,53,,,,,,,,,,
C,Kevin Pamphile,30,FA,0,0,65,66,66,67,48,48,46,46,61,62,86,51,49,48,,,,,,,,,,
LT,Greg Robinson,28,FA,0,0,84,87,71,74,47,50,51,54,65,69,88,59,51,47,,,,,,,,,,
RT,James Hurst,29,FA,0,0,57,58,66,67,61,62,52,53,69,70,75,55,59,61,,,,,,,,,,
LT,Josh Wells,29,FA,0,0,69,70,66,67,53,54,51,52,66,67,80,56,54,53,,,,,,,,,,
C,Ryan Groy,30,LAC,1,1000000,73,74,66,67,50,51,46,46,67,68,77,55,52,50,,,,,,,,,,
C,James Ferentz,31,FA,0,0,59,59,67,67,35,35,43,43,62,62,80,43,38,35,,,,,,,,,,
LT,Cameron Erving,28,DAL,1,2500000,69,72,69,72,63,67,52,55,71,75,86,60,62,63,,,,,,,,,,
C,Hroniss Grasu,29,FA,0,0,57,59,63,65,53,55,43,44,66,68,75,50,52,53,,,,,,,,,,
LT,T.J. Clemmings,29,FA,0,0,67,68,68,69,48,49,44,45,66,67,84,52,49,48,,,,,,,,,,
C,Taybor Pepper,26,FA,0,0,48,50,68,71,36,38,38,40,44,46,77,37,36,36,,,,,,,,,,
LG,Michael Liedtke,28,FA,0,0,73,74,70,71,35,36,43,44,61,62,75,49,40,35,,,,,,,,,,
RT,Spencer Drango,28,FA,0,0,67,68,63,64,54,55,45,46,63,64,82,54,54,54,,,,,,,,,,
RG,Parker Ehinger,28,FA,0,0,61,62,67,68,48,49,43,44,63,64,77,50,49,48,,,,,,,,,,
LT,Jerald Hawkins,27,FA,0,0,67,70,53,55,43,45,48,50,72,75,78,51,46,43,,,,,,,,,,
RT,Dillon Gordon,27,FA,0,0,65,67,75,77,35,36,46,47,65,67,59,47,39,35,,,,,,,,,,
LG,Isaac Asiata,28,FA,0,0,84,86,61,62,46,47,51,52,75,77,90,59,50,46,,,,,,,,,,
LT,Javarius Leamon,27,FA,0,0,71,74,49,51,35,36,46,48,63,66,77,47,39,35,,,,,,,,,,
C,Colin Holba,26,FA,0,0,49,51,65,68,38,40,42,44,48,50,88,39,38,38,,,,,,,,,,
RT,Brandon Greene,26,FA,0,0,61,63,54,56,32,33,43,45,61,63,71,43,36,32,,,,,,,,,,
C,Andrew Lauderdale,27,FA,0,0,63,66,51,53,49,51,53,55,76,79,59,53,50,49,,,,,,,,,,
RT,Randin Crecelius,24,FA,0,0,63,64,51,52,49,49,53,54,76,77,59,53,50,49,,,,,,,,,,
RG,Cameron Hunt,26,FA,0,0,67,70,56,58,41,43,42,44,67,70,73,50,44,41,,,,,,,,,,
LG,Donnell Greene,25,FA,0,0,73,76,60,63,39,41,44,46,63,66,69,51,43,39,,,,,,,,,,
CB,Buster Skrine,31,CHI,2,5500000,80,80,95,95,43,43,74,74,46,46,46,46,55,55,43,43,75,75,72,72,78,51,54,55
DL,Robert Quinn,30,CHI,5,14000000,63,63,84,84,69,69,74,74,61,61,61,61,77,77,35,35,68,68,64,64,82,71,75,77
EDGE,Barkevious Mingo,30,CHI,1,500000,71,71,84,84,49,49,68,68,63,63,63,63,47,47,38,38,66,66,67,67,80,49,48,47
S,Sherrick McManis,33,CHI,1,1190000,75,75,86,86,43,43,68,68,42,42,42,42,54,54,42,42,72,72,63,63,54,49,52,54
DL,Akiem Hicks,31,CHI,2,12000000,46,46,68,68,90,90,73,73,73,73,73,73,90,90,21,21,62,62,56,56,88,86,89,90
LB,Danny Trevathan,30,CHI,3,7250000,61,61,80,80,48,48,65,65,80,80,80,80,80,80,52,52,67,67,67,67,71,63,74,80
CB,Kyle Fuller,28,CHI,2,13500000,84,87,90,93,44,45,72,74,42,43,42,43,77,79,51,53,81,83,69,71,78,64,73,77
DL,Brent Urban,29,CHI,1,500000,54,54,70,70,59,59,63,63,57,57,57,57,54,54,24,24,52,52,53,53,52,54,54,54
EDGE,Khalil Mack,29,CHI,5,23500000,75,77,88,91,78,80,81,83,88,91,88,91,96,99,44,45,84,87,80,82,94,90,94,96
DL,Eddie Goldman,26,CHI,3,10510000,46,48,64,67,80,83,67,70,84,87,84,87,73,76,17,18,54,56,59,61,71,74,73,73
CB,Artie Burns,25,CHI,1,500000,82,85,86,89,40,42,68,72,37,39,37,39,51,54,45,48,67,71,64,68,75,47,50,51
S,Jordan Lucas,27,CHI,1,500000,82,84,90,92,49,50,74,75,48,49,48,49,44,45,47,48,71,72,70,71,75,48,45,44
S,Deon Bush,27,CHI,1,1400000,75,77,85,87,51,52,71,72,47,48,47,48,44,45,46,47,66,67,64,65,78,47,45,44
S,DeAndre Houstn-Carson,27,CHI,1,500000,77,79,82,84,46,47,67,68,50,51,50,51,42,43,48,49,62,63,64,65,78,43,42,42
EDGE,Devante Bond,27,CHI,1,500000,65,66,81,83,53,54,68,69,55,56,55,56,48,49,33,34,62,63,61,62,75,49,48,48
S,Kentrell Brice,26,CHI,1,500000,82,84,77,79,51,53,66,68,46,47,46,47,48,49,43,44,69,71,61,63,73,49,48,48
S,Eddie Jackson,26,CHI,5,14600000,77,79,86,89,45,46,69,71,50,52,50,52,82,84,57,59,75,77,66,68,65,69,78,82
DL,Roy R-Harris,27,CHI,1,500000,57,58,73,74,61,62,65,66,61,62,61,62,55,56,28,28,58,59,57,58,75,56,55,55
LB,Roquan Smith,23,CHI,2,4620000,78,81,88,91,61,64,76,84,73,81,73,81,65,72,46,49,71,79,76,84,84,64,65,65
LB,Joel Iyiegbuniwe,25,CHI,2,500000,71,74,80,83,48,50,66,69,63,66,63,66,42,44,33,34,61,63,65,68,63,45,43,42
DL,Bilal Nichols,24,CHI,2,500000,53,55,62,64,75,78,67,70,63,66,63,66,55,57,28,29,51,53,53,55,77,61,57,55
DL,Abdullah Anderson,24,CHI,1,500000,48,50,70,73,82,85,71,74,59,61,59,61,31,32,35,36,46,48,52,54,75,52,38,31
CB,Duke Shelley,24,CHI,3,500000,78,81,84,87,38,40,66,69,41,43,41,43,43,45,48,50,64,67,63,66,69,42,43,43
EDGE,Isaiah SImmons,22,ARI,4,500000,82,85,86,89,38,41,67,74,69,76,69,76,49,54,43,46,67,74,75,83,78,41,46,49
LB,Kenneth Murray,22,LAC,4,500000,69,72,81,84,57,60,71,78,73,80,73,80,54,59,42,45,61,67,68,75,46,49,52,54
EDGE,Carlos Dunlap,31,CIN,2,13550000,65,65,82,82,59,59,70,70,71,71,71,71,75,75,35,35,68,68,67,67,73,66,72,75
DL,Geno Atkins,32,CIN,3,16300000,57,57,71,71,80,80,72,72,69,69,69,69,86,86,17,17,62,62,59,59,71,81,84,86
LB,Josh Bynes,31,CIN,1,1650000,59,59,77,77,55,55,64,64,69,69,69,69,69,69,35,35,61,61,61,61,69,59,66,69
S,Shawn Williams,29,CIN,1,5050000,77,78,82,83,55,56,70,71,57,58,57,58,55,56,48,48,69,70,66,67,82,55,55,55
CB,Trae Waynes,28,CIN,3,14000000,88,91,86,89,48,49,71,73,36,37,36,37,59,61,51,53,74,76,66,68,77,55,58,59
CB,Mackensie Alexander,27,CIN,1,4000000,80,82,88,91,42,43,70,72,45,46,45,46,59,61,41,42,73,75,67,69,77,53,57,59
CB,William Jackson III,28,CIN,1,3280000,86,89,88,91,42,43,71,73,36,37,36,37,63,65,50,52,78,80,66,68,77,56,61,63
S,Vonn Bell,26,CIN,3,6000000,77,80,85,88,48,50,69,72,54,57,54,57,59,62,51,54,68,71,67,70,77,54,57,59
CB,LeShaun Sims,27,CIN,1,1700000,77,78,86,87,45,45,68,69,33,33,33,33,59,60,47,47,71,72,61,62,78,51,56,59
DL,D.J. Reader,26,CIN,4,13250000,46,47,61,62,77,79,66,67,73,74,73,74,78,80,20,20,56,57,54,55,77,75,77,78
EDGE,Carl Lawson,25,CIN,1,570000,67,69,82,84,77,79,77,79,63,65,63,65,57,59,22,23,62,64,65,67,63,65,60,57
DL,Ryan Glasgow,27,CIN,1,500000,48,48,57,58,77,78,64,65,59,60,59,60,51,52,21,21,47,47,49,49,75,59,54,51
LB,Jordan Evans,25,CIN,1,500000,77,80,84,87,54,56,71,74,57,59,57,59,51,53,43,45,70,73,67,70,82,51,51,51
S,Brandon Wilson,26,CIN,1,2130000,84,87,82,84,50,52,69,71,40,41,40,41,40,41,44,45,69,71,63,65,75,44,41,40
CB,Greg Mabin,26,CIN,1,500000,77,79,84,86,51,52,70,71,48,49,48,49,43,44,45,46,62,63,65,66,55,47,44,43
CB,Torry McTyer,25,CIN,1,500000,84,87,85,88,38,39,66,68,35,36,35,36,46,47,38,39,66,68,63,65,77,44,45,46
DL,Josh Tupou,26,CIN,1,2130000,43,44,56,57,75,77,62,63,61,62,61,62,45,46,19,19,43,44,48,49,69,55,48,45
LB,Brady Sheldon,27,CIN,1,500000,77,79,81,83,48,49,67,68,53,54,53,54,41,42,45,46,64,65,64,65,69,44,42,41
S,Jessie Bates III,23,CIN,2,1240000,78,81,89,92,41,44,70,76,51,55,51,55,59,64,53,56,72,78,69,75,80,53,57,59
EDGE,Sam Hubbard,25,CIN,2,570000,57,59,84,87,53,55,68,71,67,70,67,70,57,59,30,31,63,66,64,67,84,54,56,57
CB,Darius Phillips,24,CIN,2,500000,84,87,88,91,33,34,66,69,34,35,34,35,50,52,54,56,67,70,65,68,75,44,48,50
LB,Germaine Pratt,24,CIN,3,1020000,73,76,79,82,54,57,67,71,71,75,71,75,49,52,43,46,60,64,67,71,67,51,50,49
DL,Renell Wren,25,CIN,3,500000,51,53,70,72,82,84,71,73,54,56,54,56,47,48,28,29,51,53,52,54,82,59,51,47
CB,Noah Igbinoghene,21,MIA,4,500000,86,89,89,92,41,43,72,76,46,48,46,48,46,48,46,48,68,71,70,74,73,41,44,46
CB,A.J. Terrell,22,ATL,4,500000,82,85,88,91,46,48,71,74,43,45,43,45,48,50,45,47,73,76,67,70,65,43,46,48
EDGE,Jerry Hughes,32,BUF,2,10750000,65,65,81,81,54,54,68,68,59,59,59,59,84,84,28,28,71,71,62,62,80,68,79,84
LB,Mario Addison,33,BUF,3,10150000,59,59,82,82,54,54,68,68,59,59,59,59,67,67,30,30,61,61,61,61,80,58,64,67
DL,Star Lotulelei,31,BUF,3,6200000,41,41,67,67,92,92,71,71,73,73,73,73,54,54,26,26,49,49,54,54,77,66,58,54
LB,A.J. Klein,29,BUF,3,6000000,67,67,74,74,48,48,62,62,61,61,61,61,67,67,51,51,60,60,60,60,82,55,63,67
S,Micah Hyde,30,BUF,2,6100000,77,77,90,90,41,41,70,70,51,51,51,51,84,84,53,53,77,77,69,69,86,67,78,84
CB,Josh Norman,33,BUF,1,6000000,77,77,90,90,48,48,72,72,44,44,44,44,63,63,61,61,75,75,67,67,92,55,60,63
S,Jordan Poyer,29,BUF,3,9750000,75,75,88,88,47,47,72,72,51,51,51,51,75,75,51,51,71,71,67,67,75,64,71,75
EDGE,Trent Murphy,30,BUF,1,7500000,55,55,79,79,67,67,71,71,65,65,65,65,71,71,33,33,64,64,60,60,80,65,69,71
CB,E.J. Gaines,28,BUF,1,500000,77,77,84,84,42,42,67,67,43,43,43,43,54,54,48,48,63,63,63,63,80,51,53,54
S,Dean Marlowe,28,BUF,1,1550000,73,74,85,86,50,51,70,71,52,53,52,53,46,46,38,38,63,64,65,66,84,48,47,46
DL,Vernon Butler,26,BUF,2,7500000,47,49,64,67,67,70,64,67,65,68,65,68,54,57,22,23,52,55,52,55,80,57,55,54
LB,Tyler Matakevich,28,BUF,2,3580000,59,60,77,78,54,55,65,66,67,68,67,68,51,52,48,48,56,57,60,61,82,50,51,51
DL,Quinton Jefferson,27,BUF,2,6750000,53,54,67,68,59,60,63,64,57,58,57,58,52,53,25,25,52,53,53,54,73,54,53,52
DL,Vincent Taylor,26,BUF,1,500000,50,51,61,62,69,70,64,65,53,54,53,54,53,54,23,23,49,50,49,50,84,57,54,53
CB,Tre'Davious White,25,BUF,1,2520000,82,85,91,94,54,57,76,81,48,51,48,51,82,87,51,54,77,82,71,75,80,71,78,82
LB,Matt Milano,25,BUF,1,500000,67,70,75,78,55,57,65,68,65,68,65,68,69,72,43,45,64,67,62,64,88,61,66,69
LB,Tremaine Edmunds,22,BUF,2,3160000,75,78,87,90,54,57,72,81,67,76,67,76,65,73,39,42,70,79,72,81,86,60,63,65
DL,Harrison Phillips,24,BUF,2,500000,46,49,75,78,84,87,73,77,61,65,61,65,46,49,19,20,51,54,54,57,77,61,51,46
CB,Taron Johnson,24,BUF,2,500000,78,81,85,88,45,47,69,72,41,43,41,43,55,57,48,50,67,70,63,66,75,51,54,55
S,Siran Neal,26,BUF,2,500000,75,77,83,85,43,44,66,68,51,53,51,53,40,41,48,49,67,69,64,66,84,43,41,40
CB,Levi Wallace,25,BUF,1,500000,80,82,86,89,40,41,68,70,35,36,35,36,57,59,50,52,68,70,63,65,77,51,55,57
DL,Ed Oliver,23,BUF,3,4890000,63,66,85,88,78,81,79,85,69,75,69,75,61,66,22,24,67,72,67,72,84,67,63,61
DL,Javon Kinlaw,23,SF,4,500000,47,48,67,69,86,89,73,75,59,61,59,61,39,40,18,19,42,43,51,53,51,55,44,39
CB,C.J. Henderson,22,JAX,4,500000,90,93,92,95,33,34,70,73,51,53,51,53,48,50,47,49,77,80,75,78,61,43,46,48
LB,K'Lavon Chaisson,21,JAX,4,500000,61,64,80,83,67,70,70,78,61,68,61,68,50,56,39,42,54,60,61,68,88,56,52,50
CB,Jeff Okudah,21,DET,4,500000,82,85,87,90,46,49,71,78,43,47,43,47,61,67,46,49,77,85,67,74,84,56,59,61
DL,Jurrell Casey,31,DEN,3,15100000,51,51,76,76,84,84,73,73,78,78,78,78,78,78,19,19,57,57,61,61,88,78,78,78
EDGE,Von Miller,31,DEN,2,19020000,75,75,90,90,69,69,79,79,86,86,86,86,98,98,35,35,80,80,80,80,92,86,94,98
S,Kareem Jackson,32,DEN,2,11000000,77,77,85,85,43,43,67,67,52,52,52,52,77,77,55,55,76,76,66,66,80,65,73,77
CB,A.J. Bouye,29,DEN,2,13500000,78,78,91,91,47,47,74,74,41,41,41,41,73,73,51,51,79,79,67,67,67,63,70,73
EDGE,Jeremiah Attaochu,27,DEN,1,1500000,71,74,78,81,52,54,65,68,57,59,57,59,46,48,33,34,63,66,62,64,75,49,47,46
DL,Shelby Harris,29,DEN,1,3250000,54,54,69,69,69,69,68,68,67,67,67,67,59,59,30,30,56,56,57,57,80,61,60,59
LB,Todd Davis,28,DEN,1,5000000,55,56,84,85,57,58,70,71,67,68,67,68,53,54,39,39,62,63,63,64,88,54,53,53
DL,Mike Purcell,29,DEN,1,3260000,46,46,67,67,59,59,62,62,59,59,59,59,53,53,23,23,50,50,51,51,75,53,53,53
DL,Christian Covington,27,DEN,1,1750000,54,55,69,70,57,58,64,65,54,55,54,55,65,66,31,31,55,56,53,54,63,58,63,65
CB,Bryce Callahan,29,DEN,2,6190000,86,86,87,87,48,48,71,71,41,41,41,41,69,69,47,47,80,80,67,67,75,60,66,69
S,Justin Simmons,27,DEN,1,11440000,77,79,96,99,47,48,77,79,54,56,54,56,82,84,54,56,86,89,74,76,82,69,78,82
DL,Demarcus Walker,26,DEN,1,1270000,54,56,73,76,57,59,64,67,55,57,55,57,49,51,33,34,53,55,54,56,84,52,50,49
EDGE,Bradley Chubb,24,DEN,2,6820000,69,72,80,83,82,85,77,83,65,70,65,70,61,66,40,43,66,71,65,70,92,69,64,61
CB,Duke Dawson Jr.,25,DEN,2,780000,80,83,84,87,43,45,67,70,48,50,48,50,41,43,49,51,66,69,66,69,82,45,42,41
CB,Isaac Yiadom,24,DEN,2,500000,80,83,87,90,38,40,68,71,41,43,41,43,46,48,45,47,67,70,65,68,73,44,45,46
LB,Josey Jewell,26,DEN,2,500000,57,59,85,88,49,50,69,71,65,67,65,67,49,50,43,44,61,63,64,66,82,49,49,49
S,Trey Marshall,24,DEN,1,500000,77,80,81,84,43,45,66,69,51,54,51,54,38,40,43,45,63,66,63,66,77,42,39,38
LB,Alexander Johnson,29,DEN,1,500000,63,63,78,78,57,57,67,67,75,75,75,75,71,71,40,40,64,64,65,65,73,62,68,71
S,Kahani Smith,23,DEN,2,500000,57,58,81,82,41,41,65,66,47,47,47,47,82,83,42,42,63,64,56,57,49,56,73,82
DL,Dre'Mont Jones,23,DEN,3,1040000,52,55,76,79,55,58,64,68,63,67,63,67,49,52,36,38,53,56,56,59,78,51,50,49
EDGE,Justin Hollins,24,DEN,3,500000,73,76,81,84,51,54,67,70,52,55,52,55,40,42,40,42,62,65,63,66,73,46,42,40
EDGE,Malik Reed,24,DEN,2,500000,55,58,85,88,53,56,70,74,59,62,59,62,48,50,28,29,58,61,62,65,84,49,48,48
DL,Derrick Brown,22,CAR,4,5910000,48,50,69,72,86,89,72,75,57,59,57,59,42,44,18,19,43,45,52,54,51,57,47,42
CB,Damon Arnette,23,LV,4,500000,88,91,87,90,48,51,71,77,41,44,41,44,40,43,43,46,69,75,68,73,80,42,41,40
LB,Patrick Queen,21,BAL,4,500000,88,91,74,77,54,57,68,75,65,72,65,72,43,48,35,38,60,67,69,77,77,47,44,43
LB,Chase Young,21,WAS,4,500000,67,70,86,89,67,70,79,84,65,69,65,69,50,53,38,40,57,60,68,72,54,56,52,50
LB,Jordyn Brooks,22,SEA,4,500000,88,91,74,77,54,57,68,75,65,72,65,72,43,47,35,38,60,66,69,76,77,44,43,43
EDGE,Adrian Clayborn,32,CLE,2,2880000,54,54,78,78,69,69,71,71,59,59,59,59,73,73,19,19,58,58,57,57,75,67,71,73
S,Andrew Sendejo,33,CLE,1,2250000,65,65,84,84,49,49,69,69,54,54,54,54,61,61,51,51,65,65,62,62,75,55,59,61
DL,Sheldon Richardson,30,CLE,2,12330000,51,51,73,73,77,77,71,71,80,80,80,80,65,65,30,30,56,56,61,61,78,69,66,65
EDGE,Olivier Vernon,30,CLE,1,17000000,63,63,74,74,71,71,70,70,69,69,69,69,80,80,27,27,67,67,61,61,67,73,78,80
CB,Terrance Mitchell,28,CLE,1,3330000,78,78,94,94,34,34,71,71,38,38,38,38,52,52,51,51,71,71,68,68,73,46,50,52
CB,Kevin Johnson,28,CLE,1,3500000,77,79,92,95,45,46,73,75,41,42,41,42,54,56,50,52,75,77,67,69,53,50,53,54
S,Karl Joseph,27,CLE,1,2500000,75,78,87,90,54,57,73,77,53,56,53,56,52,55,52,55,69,72,67,70,67,54,53,52
LB,B.J. Goodson,27,CLE,1,2400000,67,68,81,83,63,64,71,72,69,70,69,70,43,44,42,43,60,61,66,67,78,51,46,43
DL,Andrew Billings,25,CLE,1,3500000,53,55,68,70,86,89,72,74,61,63,61,63,54,56,18,19,52,54,54,56,75,65,58,54
EDGE,Myles Garrett,25,CLE,1,7600000,71,74,83,86,92,95,83,88,63,67,63,67,88,93,37,39,78,83,67,71,75,89,88,88
DL,Larry Ogunjobi,26,CLE,1,980000,54,56,77,79,77,79,72,74,57,59,57,59,57,59,25,26,56,58,55,57,80,63,59,57
LB,Jermaine Grace,27,CLE,2,500000,75,77,82,84,59,60,71,72,55,56,55,56,38,39,42,43,60,61,65,66,78,47,41,38
CB,Denzel Ward,23,CLE,2,7290000,90,93,95,98,43,46,76,84,35,39,35,39,67,74,48,51,83,91,72,79,77,60,65,67
EDGE,Chad Thomas,25,CLE,2,1020000,63,66,73,76,69,72,69,72,54,56,54,56,43,45,20,21,54,56,56,58,80,53,46,43
CB,Tavierre Thomas,24,CLE,1,500000,86,86,80,80,39,39,64,64,37,37,37,37,34,34,42,42,61,61,61,61,78,38,35,34
LB,Mack Wilson,22,CLE,3,500000,69,70,81,83,57,58,69,70,59,60,59,60,54,55,48,49,62,63,63,64,73,55,54,54
CB,Greedy Williams,23,CLE,3,1610000,86,89,87,90,38,41,68,73,40,43,40,43,48,51,50,53,70,75,67,72,78,46,47,48
S,Sheldrick Redwine,24,CLE,3,510000,80,83,86,89,40,42,68,71,49,51,49,51,48,50,47,49,69,72,67,70,77,45,47,48
LB,Sione Takitaki,25,CLE,3,590000,71,74,80,83,54,57,68,71,59,62,59,62,43,45,43,45,63,66,63,66,75,48,45,43
CB,Donnie Lewis Jr.,24,CLE,2,500000,75,78,88,91,38,40,68,71,32,33,32,33,43,45,47,49,67,70,61,63,77,41,42,43
LB,Willie Harvey Jr.,24,CLE,1,500000,69,72,81,84,48,50,67,70,55,58,55,58,39,41,38,40,59,62,62,65,65,43,40,39
S,J.T. Hassell,25,CLE,1,500000,77,80,80,83,40,42,63,66,46,48,46,48,38,40,46,48,64,67,61,63,73,40,39,38
CB,Jeff Gladney,24,MIN,4,500000,77,79,85,87,36,37,66,67,51,52,51,52,46,47,44,45,65,66,66,67,78,42,45,46
CB,Jaylon Johnson,21,CHI,4,500000,77,80,85,88,36,39,66,72,51,56,51,56,61,66,44,47,69,75,66,72,78,53,58,61
EDGE,A.J. Epenesa,22,BUF,4,1470000,51,54,73,76,65,68,67,72,54,58,54,58,46,50,27,29,54,58,52,56,69,52,48,46
S,Grant Delpit,22,CLE,4,500000,78,81,87,90,43,46,69,75,55,60,55,60,50,55,65,68,66,72,69,75,77,48,49,50
EDGE,Jason Pierre-Paul,31,TB,2,12500000,57,57,82,82,71,71,73,73,63,63,63,63,77,77,20,20,67,67,62,62,86,70,75,77
DL,Ndamukong Suh,33,TB,1,8000000,53,53,78,78,96,96,78,78,69,69,69,69,73,73,32,32,61,61,60,60,86,80,75,73
LB,Kevin Minter,30,TB,1,1190000,57,57,81,81,55,55,68,68,69,69,69,69,51,51,37,37,59,59,63,63,73,52,51,51
DL,William Gholston,29,TB,2,5500000,52,52,75,75,63,63,66,66,65,65,65,65,65,65,28,28,56,56,57,57,75,60,63,65
LB,Lavonte David,30,TB,1,10050000,73,73,87,87,55,55,73,73,78,78,78,78,82,82,55,55,77,77,75,75,94,73,79,82
DL,Rakeem Nunez-Roches,27,TB,1,1500000,51,52,61,62,61,62,62,63,69,70,69,70,48,48,21,21,52,53,54,55,63,52,49,48
EDGE,Shaquil Barrett,28,TB,1,15830000,69,70,83,84,53,54,69,70,67,68,67,68,75,76,41,41,66,67,67,68,77,66,72,75
CB,Deiondre' Hall,26,TB,1,500000,77,79,88,90,43,44,69,70,39,40,39,40,35,36,51,52,67,68,64,65,77,41,37,35
CB,Ryan Smith,27,TB,1,1750000,80,81,87,88,48,48,71,72,43,43,43,43,49,49,48,48,69,70,66,67,77,49,49,49
S,Andrew Adams,28,TB,1,1010000,77,78,84,85,51,52,71,72,48,48,48,48,54,55,48,48,66,67,65,66,77,52,53,54
LB,Kendell Beckwith,26,TB,1,500000,59,61,80,83,65,68,70,73,71,74,71,74,55,57,43,45,58,60,63,66,69,57,56,55
S,Justin Evans,25,TB,1,1300000,75,78,90,93,54,57,75,80,52,55,52,55,46,49,51,54,73,77,69,73,75,50,47,46
DL,Pat O'Connor,27,TB,1,500000,57,58,71,72,67,68,68,69,55,56,55,56,35,35,20,20,49,49,54,55,77,49,40,35
DL,Vita Vea,25,TB,2,3710000,49,52,73,76,94,97,76,81,69,73,69,73,65,69,28,30,54,57,57,60,84,77,69,65
CB,M.J. Stewart,25,TB,2,1270000,73,76,87,90,47,49,70,74,48,50,48,50,43,45,46,48,65,68,65,68,86,46,44,43
CB,Carlton Davis,24,TB,2,1100000,77,80,84,87,44,47,67,71,41,43,41,43,69,73,46,49,70,74,62,66,78,56,65,69
S,Jordan Whitehead,23,TB,2,500000,73,76,81,84,48,51,66,70,51,54,51,54,54,57,48,51,64,68,62,66,69,51,53,54
LB,Jack Cichy,25,TB,2,500000,67,70,82,85,54,56,68,71,65,68,65,68,37,38,35,36,58,60,65,68,67,45,40,37
EDGE,Anthony Nelson,23,TB,3,500000,57,60,82,85,54,57,69,73,57,60,57,60,48,51,33,35,60,64,60,64,77,50,49,48
